Target Speed,Ray Count,Avg Time per Frame(ms),Avg Checks per Ray,Avg Error,Detection Success Rate(%)
1,100,4.682092502844171,85.8235,0.10763616430523536,100.0
1,300,12.71635500015691,85.83083333333333,0.07731147232619444,100.0
1,500,22.90460749900376,85.8747,0.10573192415749094,100.0
1,1000,45.24285000152304,85.88095,0.09863098854943846,100.0
1,2000,98.37122750068374,85.885225,0.07864390190403854,100.0
3,100,4.512772499583662,87.7545,0.009325779463296633,100.0
3,300,14.81783249982982,87.7625,0.04020643729679339,100.0
3,500,27.617732499493286,87.7851,0.05732432076741368,100.0
3,1000,44.317127500107745,87.80175,0.03981967054897924,100.0
3,2000,80.2639924990217,87.806575,0.03713160422817701,100.0
5,100,4.24024000094505,89.075,0.006645212577825802,100.0
5,300,11.771385002066381,89.06966666666666,0.06012562031190804,100.0
5,500,20.427045000178623,89.0937,0.02538938057888855,100.0
5,1000,40.11572999843338,89.11125,0.02066777577541343,100.0
5,2000,86.86616249942745,89.117175,0.04757336120156052,100.0
8,100,4.227844998240471,89.587,0.17600649908886795,80.0
8,300,13.093322499480564,89.5675,0.2001853106710005,80.0
8,500,22.512152500348748,89.5923,0.18501778275154093,80.0
8,1000,45.33080500041251,89.61215,0.18704221394082218,80.0
8,2000,91.88007750126417,89.617925,0.18259858185461392,80.0
